NPI,PharmAffil_id,PharmaName,Address1,City,State,PostalCode,Lat,lng,PSAOName,PharmacyChain,MegaChainName
1295740504,9000037,Walgreens,125 E MAIN ST,APOPKA,FL,32703-5345,28.6737,-81.5089,MEGA CHAIN,WALGREENS,WALGREENS
1568833192,9000057,WALMART PHARMACY,3871 WEST MAIN STREET,DOTHAN,AL,36305-0000,31.2333,-85.4508,MEGA CHAIN,WALMART PHARMACY,WALMART PHARMACY
1942227335,9000057,WALMART PHARMACY,4381 CATTLEMEN RD,SARASOTA,FL,34233-5070,27.2923,-82.4504,MEGA CHAIN,WALMART PHARMACY,WALMART PHARMACY
1629181029,9000037,Walgreens,2400 S JACKSON ST,SEATTLE,WA,98144-2364,47.5994,-122.3011,MEGA CHAIN,WALGREENS,WALGREENS
1124045455,9000057,WALMART PHARMACY,470 N AIRPORT RD,WILLOWS,CA,95988-9701,39.5257,-122.2179,MEGA CHAIN,WALMART PHARMACY,WALMART PHARMACY
1821511767,9000037,WALGREENS,120 W Reservoir Rd,Woodstock,VA,22664-1012,38.8678,-78.5183,MEGA CHAIN,WALGREENS,WALGREENS
1205841475,9000037,Walgreens,2201 VETERANS MEMORIAL DR,ABBEVILLE,LA,70510-4004,29.9806,-92.1117,MEGA CHAIN,WALGREENS,WALGREENS
1275803074,9000137,MEIJER PHARMACY,6610 S SCATTERFIELD RD,ANDERSON,IN,46013-9605,40.0489,-85.6496,REG CHAIN,MEIJER INC,REG CHAIN
1871017442,9000037,WALGREENS,2345 PEACHTREE RD NE,ATLANTA,GA,30305-0000,33.8194,-84.3867,MEGA CHAIN,WALGREENS,WALGREENS
1275051989,9000037,WALGREENS,544 Providence Rd,Charlotte,NC,28207-0000,35.2026,-80.8257,MEGA CHAIN,WALGREENS,WALGREENS
1265447429,9000037,Walgreens,703 COURT ST,CLEARWATER,FL,33756,27.9617,-82.7966,MEGA CHAIN,WALGREENS,WALGREENS
1326053513,9000037,Walgreens,430 BROADWAY,REVERE,MA,02151-3058,42.4111,-71.0128,MEGA CHAIN,WALGREENS,WALGREENS
1447774971,9000037,WALGREENS,7505 HIGHWAY 311,SELLERSBURG,IN,47172-1815,38.3801,-85.7693,MEGA CHAIN,WALGREENS,WALGREENS
1801801709,9000037,Walgreens,1835 N MAIN ST,ROSWELL,NM,88201-5168,33.4156,-104.5223,MEGA CHAIN,WALGREENS,WALGREENS
1811902026,9000037,Walgreens,2610 STATE ST,ALTON,IL,62002-5150,38.9214,-90.1930,MEGA CHAIN,WALGREENS,WALGREENS
1316952658,9000037,Walgreens,8705 LEXINGTON DR,COLORADO SPRINGS,CO,80920-4309,38.9575,-104.7688,MEGA CHAIN,WALGREENS,WALGREENS
1194742437,9000057,WALMART PHARMACY,1455 HIGHWAY 441 S,CLAYTON,GA,30525-7607,34.8598,-83.4042,MEGA CHAIN,WALMART PHARMACY,WALMART PHARMACY
1487669628,9000037,Walgreens,10500 SAINT CHARLES ROCK RD,SAINT ANN,MO,63074-1818,38.7300,-90.3863,MEGA CHAIN,WALGREENS,WALGREENS
1285047522,9000009,CVS,10712 SE CARR RD,RENTON,WA,98055-5826,47.4454,-122.1979,MEGA CHAIN,CVS PHARMACY INC,CVS
1205915626,0000000,MOYES PHARMACY,162 E RAILROAD ST SE,PELHAM,GA,31779-2235,31.1247,-84.1511,NULL,NULL,NULL
1063812337,0000000,JANN'S PHARMACY,1825 MCFARLAND BLVD N,TUSCALOOSA,AL,35406,33.2367,-87.5501,NULL,NULL,NULL
1831298207,9000009,CVS,67 MAIN ST # D,MEDWAY,MA,02053-1817,42.1527,-71.4046,MEGA CHAIN,CVS PHARMACY INC,CVS
1255435129,9000009,CVS,715 W BRANDON BLVD,BRANDON,FL,33511-4901,27.9371,-82.2945,MEGA CHAIN,CVS PHARMACY INC,CVS
1194969097,9000009,CVS,7847 TRAMWAY BLVD NE,ALBUQUERQUE,NM,87122-2515,35.1732,-106.4970,MEGA CHAIN,CVS PHARMACY INC,CVS
1194828814,9000009,CVS,3352 KENT RD,STOW,OH,44224-4537,41.1589,-81.4408,MEGA CHAIN,CVS PHARMACY INC,CVS
1235233198,9000009,CVS,11721 S DIXIE HWY,PINECREST,FL,33156-4438,25.6616,-80.3256,MEGA CHAIN,CVS PHARMACY INC,CVS
1275511362,0000000,WESTSIDE PHARMACY INC,4440 W MAIN ST STE 1,DOTHAN,AL,36305-1186,31.2365,-85.4592,NULL,NULL,NULL
1164596680,9000743,COLBERT PHARMACY,5674 HIGHWAY 72 W,COLBERT,GA,30628-2934,34.0374,-83.2178,REG CHAIN,EPIC PHARMACY NETWORK INC,REG CHAIN
1952402414,9000009,CVS,37 MAHONING ST,MILTON,PA,17847-1015,41.0164,-76.8554,MEGA CHAIN,CVS PHARMACY INC,CVS
1063515716,9000009,CVS,1100 S HIGH ST,HARRISONBURG,VA,22801-1521,38.4369,-78.8903,MEGA CHAIN,CVS PHARMACY INC,CVS
1528165024,9000009,CVS,9435 S NORTHSHORE DR,KNOXVILLE,TN,37922-6550,35.8631,-84.0661,MEGA CHAIN,CVS PHARMACY INC,CVS
1881644524,0000000,MILNER RUSHING DISCOUNT DRUG,869 FLORENCE BLVD,FLORENCE,AL,35630-4870,34.8099,-87.6650,NULL,NULL,NULL
1790017648,9000009,CVS,2780 ESPLANADE,CHICO,CA,95973-1115,39.7609,-121.8648,MEGA CHAIN,CVS PHARMACY INC,CVS
1912000746,9000009,CVS,3506 GENDER RD,CANAL WINCHESTER,OH,43110-8007,39.9104,-82.8236,MEGA CHAIN,CVS PHARMACY INC,CVS
1164520789,9000009,CVS,AHERN PLAZA RT 30A,GLOVERSVILLE,NY,12078-0000,43.0509,-74.3234,MEGA CHAIN,CVS PHARMACY INC,CVS
1083718803,9000009,CVS,7314 MONTGOMERY RD,CINCINNATI,OH,45236-4002,39.1932,-84.3999,MEGA CHAIN,CVS PHARMACY INC,CVS
1942319629,0000000,MEDIC PRESCRIPTION PHARMACY,5150 N FEDERAL HWY,FORT LAUDERDALE,FL,33308-3814,26.1920,-80.1132,NULL,NULL,NULL
1215031976,9000009,CVS,201 GLEN ST,GLEN COVE,NY,11542-2734,40.8619,-73.6229,MEGA CHAIN,CVS PHARMACY INC,CVS
1891971438,9000009,CVS,242 CAMBRIDGE ST,BURLINGTON,MA,01803-2541,42.5132,-71.2020,MEGA CHAIN,CVS PHARMACY INC,CVS
1174940365,9000009,CVS,984 WORCESTER ST,WELLESLEY,MA,02482-0000,42.3043,-71.3250,MEGA CHAIN,CVS PHARMACY INC,CVS
1720182694,9000009,CVS,6701 N DALE MABRY HWY,TAMPA,FL,33614-3926,28.0076,-82.5046,MEGA CHAIN,CVS PHARMACY INC,CVS
1558464230,9000009,CVS,773 RUSS AVE,WAYNESVILLE,NC,28786-2998,35.5034,-82.9905,MEGA CHAIN,CVS PHARMACY INC,CVS
1417018698,0000000,SMITH DRUG STORE,8120 RUTLEDGE PIKE,RUTLEDGE,TN,37861-3033,36.2806,-83.5146,NULL,NULL,NULL
1437253226,9000009,CVS,17410 MARSH LN,DALLAS,TX,75287-6249,32.9875,-96.8543,MEGA CHAIN,CVS PHARMACY INC,CVS
1003861121,0000000,MILNER RUSHING EXPRESS PHCY,2602 HOUGH RD,FLORENCE,AL,35630-1747,34.8348,-87.6330,NULL,NULL,NULL
1174524169,0000000,ODEN SHIREY DRUG CO,970 US HIGHWAY 43,WINFIELD,AL,35594-4711,33.9285,-87.8162,NULL,NULL,NULL
1114021185,9000009,CVS,4859 MACARTHUR BLVD NW,WASHINGTON,DC,20007-1564,38.9167,-77.0954,MEGA CHAIN,CVS PHARMACY INC,CVS
1275637001,9000009,CVS,814 SHELDON RD,CHANNELVIEW,TX,77530-3512,29.7888,-95.1241,MEGA CHAIN,CVS PHARMACY INC,CVS
1407950348,9000009,CVS,110 WALKERS VILLAGE WAY,WALKERSVILLE,MD,21793-8147,39.4854,-77.3402,MEGA CHAIN,CVS PHARMACY INC,CVS
1629171483,9000009,CVS,9920 JONES BRIDGE RD,ALPHARETTA,GA,30022-6522,34.0252,-84.2524,MEGA CHAIN,CVS PHARMACY INC,CVS
1114962115,9000009,CVS,603 N MONTANA AVE,HELENA,MT,59601-3885,46.5900,-112.0192,MEGA CHAIN,CVS PHARMACY INC,CVS
1801999586,9000009,CVS,902 N JK POWELL BLVD,WHITEVILLE,NC,28472-2115,34.3401,-78.7079,MEGA CHAIN,CVS PHARMACY INC,CVS
1174615801,9000009,CVS,175 ROCK RD,GLEN ROCK,NJ,07452-1747,40.9630,-74.1335,MEGA CHAIN,CVS PHARMACY INC,CVS
1548363237,9000009,CVS,1379 VOLUNTEER PKWY,BRISTOL,TN,37620-5709,36.5598,-82.2110,MEGA CHAIN,CVS PHARMACY INC,CVS
1831292374,9000009,CVS,1041 YORK ST NE,AIKEN,SC,29801-4025,33.5765,-81.7042,MEGA CHAIN,CVS PHARMACY INC,CVS
1902847809,9000009,CVS,6510 NIEMAN RD,SHAWNEE,KS,66203-3328,39.0101,-94.7151,MEGA CHAIN,CVS PHARMACY INC,CVS
1689607624,0000000,HAYNEVILLE DRUG,12 LAFAYETTE ST,HAYNEVILLE,AL,36040-2089,32.1835,-86.5800,NULL,NULL,NULL
1518126473,0000000,MEDICINE SHOPPE,3030 E SEMORAN BLVD,APOPKA,FL,32703-5952,28.6703,-81.4540,NULL,NULL,NULL
1861049090,9000009,CVS,11521 E STATE RD 70,BRADENTON,FL,34202,27.4339,-82.4277,MEGA CHAIN,CVS PHARMACY INC,CVS
1952663940,9000009,CVS,1749 WOODSTONE DR,SAINT PETERS,MO,63376-7404,38.7495,-90.5848,MEGA CHAIN,CVS PHARMACY INC,CVS
1265535942,9000009,CVS,305 W MAIN ST,LIBERTY,SC,29657-1021,34.7869,-82.6968,MEGA CHAIN,CVS PHARMACY INC,CVS
1366545055,9000009,CVS,405 GREEN BLVD,AURORA,IN,47001-1421,39.0632,-84.8962,MEGA CHAIN,CVS PHARMACY INC,CVS
1710081617,9000009,CVS,11582 N WILLIAMS ST STE 506,DUNNELLON,FL,34432-8313,29.0554,-82.4567,MEGA CHAIN,CVS PHARMACY INC,CVS
